[2022-08-21 14:10:59] Executing SamBamViz v0.0.9
[2022-08-21 14:10:59] Using 1-based indexing
[2022-08-21 14:10:59] Input file: data/trimmed_bam/SRR13616017.02.trimmed.sorted.bam
[2022-08-21 14:10:59] Output file: data/trimmed_bam/SRR13616017.02.trimmed.sorted.bam.sambamviz.tsv
[2022-08-21 14:10:59] Parsing input file...
[2022-08-21 14:11:05] Parsed 50000 reads...
[2022-08-21 14:11:12] Parsed 100000 reads...
[2022-08-21 14:11:19] Parsed 150000 reads...
[2022-08-21 14:11:26] Parsed 200000 reads...
[2022-08-21 14:11:34] Parsed 250000 reads...
[2022-08-21 14:11:41] Parsed 300000 reads...
[2022-08-21 14:11:48] Parsed 350000 reads...
[2022-08-21 14:11:55] Parsed 400000 reads...
[2022-08-21 14:12:02] Parsed 450000 reads...
[2022-08-21 14:12:10] Parsed 500000 reads...
[2022-08-21 14:12:17] Parsed 550000 reads...
[2022-08-21 14:12:24] Parsed 600000 reads...
[2022-08-21 14:12:31] Parsed 650000 reads...
[2022-08-21 14:12:39] Parsed 700000 reads...
[2022-08-21 14:12:46] Parsed 750000 reads...
[2022-08-21 14:12:53] Parsed 800000 reads...
[2022-08-21 14:13:00] Parsed 850000 reads...
[2022-08-21 14:13:07] Parsed 900000 reads...
[2022-08-21 14:13:15] Parsed 950000 reads...
[2022-08-21 14:13:22] Parsed 1000000 reads...
[2022-08-21 14:13:30] Parsed 1050000 reads...
[2022-08-21 14:13:37] Parsed 1100000 reads...
[2022-08-21 14:13:44] Parsed 1150000 reads...
[2022-08-21 14:13:51] Parsed 1200000 reads...
[2022-08-21 14:13:59] Parsed 1250000 reads...
[2022-08-21 14:14:06] Parsed 1300000 reads...
[2022-08-21 14:14:13] Parsed 1350000 reads...
[2022-08-21 14:14:20] Parsed 1400000 reads...
[2022-08-21 14:14:28] Parsed 1450000 reads...
[2022-08-21 14:14:35] Parsed 1500000 reads...
[2022-08-21 14:14:42] Parsed 1550000 reads...
[2022-08-21 14:14:50] Parsed 1600000 reads...
[2022-08-21 14:14:57] Parsed 1650000 reads...
[2022-08-21 14:15:04] Parsed 1700000 reads...
[2022-08-21 14:15:12] Parsed 1750000 reads...
[2022-08-21 14:15:19] Parsed 1800000 reads...
[2022-08-21 14:15:27] Parsed 1850000 reads...
[2022-08-21 14:15:34] Parsed 1900000 reads...
[2022-08-21 14:15:41] Parsed 1950000 reads...
[2022-08-21 14:15:49] Parsed 2000000 reads...
[2022-08-21 14:15:56] Parsed 2050000 reads...
[2022-08-21 14:16:03] Parsed 2100000 reads...
[2022-08-21 14:16:10] Parsed 2150000 reads...
[2022-08-21 14:16:18] Parsed 2200000 reads...
[2022-08-21 14:16:25] Parsed 2250000 reads...
[2022-08-21 14:16:32] Parsed 2300000 reads...
[2022-08-21 14:16:40] Parsed 2350000 reads...
[2022-08-21 14:16:47] Parsed 2400000 reads...
[2022-08-21 14:16:54] Parsed 2450000 reads...
[2022-08-21 14:17:01] Parsed 2500000 reads...
[2022-08-21 14:17:09] Parsed 2550000 reads...
[2022-08-21 14:17:16] Parsed 2600000 reads...
[2022-08-21 14:17:24] Parsed 2650000 reads...
[2022-08-21 14:17:31] Parsed 2700000 reads...
[2022-08-21 14:17:38] Parsed 2750000 reads...
[2022-08-21 14:17:45] Parsed 2800000 reads...
[2022-08-21 14:17:53] Parsed 2850000 reads...
[2022-08-21 14:18:00] Parsed 2900000 reads...
[2022-08-21 14:18:08] Parsed 2950000 reads...
[2022-08-21 14:18:16] Parsed 3000000 reads...
[2022-08-21 14:18:23] Parsed 3050000 reads...
[2022-08-21 14:18:30] Parsed 3100000 reads...
[2022-08-21 14:18:38] Parsed 3150000 reads...
[2022-08-21 14:18:45] Parsed 3200000 reads...
[2022-08-21 14:18:52] Parsed 3250000 reads...
[2022-08-21 14:19:00] Parsed 3300000 reads...
[2022-08-21 14:19:07] Parsed 3350000 reads...
[2022-08-21 14:19:14] Parsed 3400000 reads...
[2022-08-21 14:19:22] Parsed 3450000 reads...
[2022-08-21 14:19:29] Parsed 3500000 reads...
[2022-08-21 14:19:36] Parsed 3550000 reads...
[2022-08-21 14:19:44] Parsed 3600000 reads...
[2022-08-21 14:19:51] Parsed 3650000 reads...
[2022-08-21 14:19:58] Parsed 3700000 reads...
[2022-08-21 14:20:06] Parsed 3750000 reads...
[2022-08-21 14:20:13] Parsed 3800000 reads...
[2022-08-21 14:20:21] Parsed 3850000 reads...
[2022-08-21 14:20:28] Parsed 3900000 reads...
[2022-08-21 14:20:35] Parsed 3950000 reads...
[2022-08-21 14:20:42] Parsed 4000000 reads...
[2022-08-21 14:20:50] Parsed 4050000 reads...
[2022-08-21 14:20:57] Parsed 4100000 reads...
[2022-08-21 14:21:04] Parsed 4150000 reads...
[2022-08-21 14:21:12] Parsed 4200000 reads...
[2022-08-21 14:21:19] Parsed 4250000 reads...
[2022-08-21 14:21:26] Parsed 4300000 reads...
[2022-08-21 14:21:33] Parsed 4350000 reads...
[2022-08-21 14:21:41] Parsed 4400000 reads...
[2022-08-21 14:21:48] Parsed 4450000 reads...
[2022-08-21 14:21:55] Parsed 4500000 reads...
[2022-08-21 14:22:03] Parsed 4550000 reads...
[2022-08-21 14:22:10] Parsed 4600000 reads...
[2022-08-21 14:22:17] Parsed 4650000 reads...
[2022-08-21 14:22:25] Parsed 4700000 reads...
[2022-08-21 14:22:32] Parsed 4750000 reads...
[2022-08-21 14:22:39] Parsed 4800000 reads...
[2022-08-21 14:22:46] Parsed 4850000 reads...
[2022-08-21 14:22:54] Parsed 4900000 reads...
[2022-08-21 14:23:01] Parsed 4950000 reads...
[2022-08-21 14:23:08] Parsed 5000000 reads...
[2022-08-21 14:23:16] Parsed 5050000 reads...
[2022-08-21 14:23:23] Parsed 5100000 reads...
[2022-08-21 14:23:30] Finished parsing input file
[2022-08-21 14:23:30] - Number of reads: 5144254
[2022-08-21 14:23:30]   - Unmapped: 0
[2022-08-21 14:23:30]   - Mapped: 5144254
[2022-08-21 14:23:30] - Average raw (unclipped) read length: 99.8632553913551
[2022-08-21 14:23:30]   - Unmapped: N/A
[2022-08-21 14:23:30]   - Mapped: 99.8632553913551
[2022-08-21 14:23:30] - Average clipped read length: 95.98906916338112
[2022-08-21 14:23:30]   - Unmapped: N/A
[2022-08-21 14:23:30]   - Mapped: 95.98906916338112
[2022-08-21 14:23:30] - Average insert size: N/A
[2022-08-21 14:23:30] - Average coverage: 15993.498461641362
[2022-08-21 14:23:30] Writing nucleotide counts...
[2022-08-21 14:23:30] Finished writing nucleotide counts
