[2022-08-21 11:02:28] Executing SamBamViz v0.0.9
[2022-08-21 11:02:28] Using 1-based indexing
[2022-08-21 11:02:28] Input file: data/trimmed_bam/SRR13615993.02.trimmed.sorted.bam
[2022-08-21 11:02:28] Output file: data/trimmed_bam/SRR13615993.02.trimmed.sorted.bam.sambamviz.tsv
[2022-08-21 11:02:28] Parsing input file...
[2022-08-21 11:02:35] Parsed 50000 reads...
[2022-08-21 11:02:42] Parsed 100000 reads...
[2022-08-21 11:02:50] Parsed 150000 reads...
[2022-08-21 11:02:57] Parsed 200000 reads...
[2022-08-21 11:03:04] Parsed 250000 reads...
[2022-08-21 11:03:12] Parsed 300000 reads...
[2022-08-21 11:03:19] Parsed 350000 reads...
[2022-08-21 11:03:27] Parsed 400000 reads...
[2022-08-21 11:03:34] Parsed 450000 reads...
[2022-08-21 11:03:42] Parsed 500000 reads...
[2022-08-21 11:03:49] Parsed 550000 reads...
[2022-08-21 11:03:56] Parsed 600000 reads...
[2022-08-21 11:04:04] Parsed 650000 reads...
[2022-08-21 11:04:11] Parsed 700000 reads...
[2022-08-21 11:04:19] Parsed 750000 reads...
[2022-08-21 11:04:26] Parsed 800000 reads...
[2022-08-21 11:04:34] Parsed 850000 reads...
[2022-08-21 11:04:41] Parsed 900000 reads...
[2022-08-21 11:04:48] Parsed 950000 reads...
[2022-08-21 11:04:56] Parsed 1000000 reads...
[2022-08-21 11:05:03] Parsed 1050000 reads...
[2022-08-21 11:05:11] Parsed 1100000 reads...
[2022-08-21 11:05:18] Parsed 1150000 reads...
[2022-08-21 11:05:26] Parsed 1200000 reads...
[2022-08-21 11:05:33] Parsed 1250000 reads...
[2022-08-21 11:05:41] Parsed 1300000 reads...
[2022-08-21 11:05:48] Parsed 1350000 reads...
[2022-08-21 11:05:55] Parsed 1400000 reads...
[2022-08-21 11:06:03] Parsed 1450000 reads...
[2022-08-21 11:06:10] Parsed 1500000 reads...
[2022-08-21 11:06:18] Parsed 1550000 reads...
[2022-08-21 11:06:25] Parsed 1600000 reads...
[2022-08-21 11:06:32] Parsed 1650000 reads...
[2022-08-21 11:06:40] Parsed 1700000 reads...
[2022-08-21 11:06:47] Parsed 1750000 reads...
[2022-08-21 11:06:55] Parsed 1800000 reads...
[2022-08-21 11:07:02] Parsed 1850000 reads...
[2022-08-21 11:07:09] Parsed 1900000 reads...
[2022-08-21 11:07:17] Parsed 1950000 reads...
[2022-08-21 11:07:24] Parsed 2000000 reads...
[2022-08-21 11:07:32] Parsed 2050000 reads...
[2022-08-21 11:07:39] Parsed 2100000 reads...
[2022-08-21 11:07:46] Parsed 2150000 reads...
[2022-08-21 11:07:54] Parsed 2200000 reads...
[2022-08-21 11:08:01] Parsed 2250000 reads...
[2022-08-21 11:08:08] Parsed 2300000 reads...
[2022-08-21 11:08:17] Parsed 2350000 reads...
[2022-08-21 11:08:25] Parsed 2400000 reads...
[2022-08-21 11:08:34] Parsed 2450000 reads...
[2022-08-21 11:08:41] Parsed 2500000 reads...
[2022-08-21 11:08:49] Parsed 2550000 reads...
[2022-08-21 11:08:56] Parsed 2600000 reads...
[2022-08-21 11:09:04] Parsed 2650000 reads...
[2022-08-21 11:09:11] Parsed 2700000 reads...
[2022-08-21 11:09:19] Parsed 2750000 reads...
[2022-08-21 11:09:26] Parsed 2800000 reads...
[2022-08-21 11:09:34] Parsed 2850000 reads...
[2022-08-21 11:09:41] Parsed 2900000 reads...
[2022-08-21 11:09:49] Parsed 2950000 reads...
[2022-08-21 11:09:56] Parsed 3000000 reads...
[2022-08-21 11:10:04] Parsed 3050000 reads...
[2022-08-21 11:10:11] Parsed 3100000 reads...
[2022-08-21 11:10:18] Parsed 3150000 reads...
[2022-08-21 11:10:26] Parsed 3200000 reads...
[2022-08-21 11:10:33] Parsed 3250000 reads...
[2022-08-21 11:10:40] Parsed 3300000 reads...
[2022-08-21 11:10:47] Parsed 3350000 reads...
[2022-08-21 11:10:55] Parsed 3400000 reads...
[2022-08-21 11:11:02] Parsed 3450000 reads...
[2022-08-21 11:11:09] Parsed 3500000 reads...
[2022-08-21 11:11:17] Parsed 3550000 reads...
[2022-08-21 11:11:24] Parsed 3600000 reads...
[2022-08-21 11:11:32] Parsed 3650000 reads...
[2022-08-21 11:11:39] Parsed 3700000 reads...
[2022-08-21 11:11:43] Finished parsing input file
[2022-08-21 11:11:43] - Number of reads: 3727121
[2022-08-21 11:11:43]   - Unmapped: 0
[2022-08-21 11:11:43]   - Mapped: 3727121
[2022-08-21 11:11:43] - Average raw (unclipped) read length: 148.26791456461973
[2022-08-21 11:11:43]   - Unmapped: N/A
[2022-08-21 11:11:43]   - Mapped: 148.26791456461973
[2022-08-21 11:11:43] - Average clipped read length: 96.22528487806004
[2022-08-21 11:11:43]   - Unmapped: N/A
[2022-08-21 11:11:43]   - Mapped: 96.22528487806004
[2022-08-21 11:11:43] - Average insert size: N/A
[2022-08-21 11:11:43] - Average coverage: 11640.475998265336
[2022-08-21 11:11:43] Writing nucleotide counts...
[2022-08-21 11:11:43] Finished writing nucleotide counts
